Work Order,Description,Work Type,Location,Asset,Owner,Unit,Status,Unit Description,PO,Reported Date,Scheduled Start,HI Value,Description Penyulang,Status Date,Priority,Originating Record,Site,Bulan,UP3,INSP,JENIS WO,PANJANG JTM,FASA,YEAR,COUNTUNIQUE of Work Order,Status,,,,,,,,,,
101130789,INSPEKSI TIER 1 BB72536,INST1,GD01.06302390,,32740.INSPEKSI2,ULP.32740,INPRG,ULP BANTAENG,,11/08/2026,,,P_LEMBANG,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101130880,INSPEKSI TIER 1 BB72537,INST1,GD01.06302391,,32740.INSPEKSI2,ULP.32740,WFOLLOWUP,ULP BANTAENG,,11/08/2026,,BURUK,P_LEMBANG,27/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101131159,INSPEKSI TIER 1 BB72538,INST1,GD01.06302392,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,11/08/2026,,KURANG,P_LEMBANG,27/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101131508,INSPEKSI TIER 1 BB72539,INST1,GD01.06302393,,32740.INSPEKSI2,ULP.32740,INPRG,ULP BANTAENG,,11/08/2026,,,P_LEMBANG,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101131915,INSPEKSI TIER 1 BB72540,INST1,GD01.06302394,,32740.INSPEKSI2,ULP.32740,WFOLLOWUP,ULP BANTAENG,,11/08/2026,,BURUK,P_LEMBANG,27/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101132105,INSPEKSI TIER 1 BB72541,INST1,GD01.06302395,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,11/08/2026,,CUKUP,P_LEMBANG,27/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101132320,INSPEKSI TIER 1 BB72542,INST1,GD01.06302396,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,11/08/2026,,KURANG,P_LEMBANG,27/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101132491,INSPEKSI TIER 1 BB72543,INST1,GD01.06302397,,32740.INSPEKSI2,ULP.32740,WFOLLOWUP,ULP BANTAENG,,11/08/2026,,BURUK,P_LEMBANG,27/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101132986,INSPEKSI TIER 1 BB72544,INST1,GD01.06302398,,32740.INSPEKSI2,ULP.32740,WFOLLOWUP,ULP BANTAENG,,11/08/2026,,BURUK,P_LEMBANG,27/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101172703,Perbaikan/Pergantian INSPEKSI TIER 1 BB18050,INST1,GD01.06302245,,32740.INSPEKSI2,ULP.32740,WAPPR,ULP BANTAENG,,12/08/2026,,,P_LINGKAR,12/08/2026,,100191991,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101172760,Perbaikan/Pergantian INSPEKSI TIER 1 BB18073,INST1,GD01.06302268,,32740.INSPEKSI2,ULP.32740,WAPPR,ULP BANTAENG,,12/08/2026,,,P_LINGKAR,12/08/2026,,100316264,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101173268,Perbaikan/Pergantian INSPEKSI TIER 1 BL00055,INST1,GD01.06302123,,32710.INSPEKSI1,ULP.32710,COMP,ULP PANRITA LOPI,,12/08/2026,,KURANG,P_SAPIRIA,28/08/2026,,101104921,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101173324,Perbaikan/Pergantian INSPEKSI TIER 1 BL00026,INST1,GD01.06302125,,32710.INSPEKSI1,ULP.32710,WOREJECT,ULP PANRITA LOPI,,12/08/2026,,BURUK,P_SAPIRIA,28/08/2026,,101104943,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101173464,Perbaikan/Pergantian INSPEKSI TIER 1 BL00027,INST1,GD01.06302126,,32710.INSPEKSI1,ULP.32710,WOREJECT,ULP PANRITA LOPI,,12/08/2026,,BURUK,P_SAPIRIA,28/08/2026,,101104954,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101173765,Perbaikan/Pergantian INSPEKSI TIER 1 BL00028,INST1,GD01.06302127,,32710.INSPEKSI1,ULP.32710,WREVIEW,ULP PANRITA LOPI,,12/08/2026,,,P_SAPIRIA,28/08/2026,,101104965,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101173816,Perbaikan/Pergantian INSPEKSI TIER 1 BL00030,INST1,GD01.06302131,,32710.INSPEKSI1,ULP.32710,INPRG,ULP PANRITA LOPI,,12/08/2026,,BURUK,P_SAPIRIA,28/08/2026,,101105009,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101173876,Perbaikan/Pergantian INSPEKSI TIER 1 BL00042,INST1,GD01.06302135,,32710.INSPEKSI1,ULP.32710,INPRG,ULP PANRITA LOPI,,12/08/2026,,BURUK,P_SAPIRIA,28/08/2026,,101105042,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101173928,Perbaikan/Pergantian INSPEKSI TIER 1 BL00046,INST1,GD01.06302139,,32710.INSPEKSI1,ULP.32710,COMP,ULP PANRITA LOPI,,12/08/2026,,KURANG,P_SAPIRIA,28/08/2026,,101105078,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101173937,Perbaikan/Pergantian INSPEKSI TIER 1 BL00047,INST1,GD01.06302140,,32710.INSPEKSI1,ULP.32710,WOREJECT,ULP PANRITA LOPI,,12/08/2026,,BURUK,P_SAPIRIA,28/08/2026,,101105089,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101173998,Perbaikan/Pergantian INSPEKSI TIER 1 BL00048,INST1,GD01.06302141,,32710.INSPEKSI1,ULP.32710,WOREJECT,ULP PANRITA LOPI,,12/08/2026,,BURUK,P_SAPIRIA,28/08/2026,,101105098,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101174035,Perbaikan/Pergantian INSPEKSI TIER 1 BL00049,INST1,GD01.06302142,,32710.INSPEKSI1,ULP.32710,WREVIEW,ULP PANRITA LOPI,,12/08/2026,,,P_SAPIRIA,28/08/2026,,101105131,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101174052,Perbaikan/Pergantian INSPEKSI TIER 1 BL00050,INST1,GD01.06302143,,32710.INSPEKSI1,ULP.32710,WREVIEW,ULP PANRITA LOPI,,12/08/2026,,,P_SAPIRIA,28/08/2026,,101105168,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101174067,Perbaikan/Pergantian INSPEKSI TIER 1 BL00051,INST1,GD01.06302144,,32710.INSPEKSI1,ULP.32710,WOREJECT,ULP PANRITA LOPI,,12/08/2026,,BURUK,P_SAPIRIA,28/08/2026,,101105220,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101174076,Perbaikan/Pergantian INSPEKSI TIER 1 BL00067,INST1,GD01.06302147,,32710.INSPEKSI1,ULP.32710,WREVIEW,ULP PANRITA LOPI,,12/08/2026,,,P_SAPIRIA,28/08/2026,,101105270,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101174086,Perbaikan/Pergantian INSPEKSI TIER 1 BL00069,INST1,GD01.06302149,,32710.INSPEKSI1,ULP.32710,WREVIEW,ULP PANRITA LOPI,,12/08/2026,,,P_SAPIRIA,28/08/2026,,101105348,TND,Agu,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
101204633,INSPEKSI TIER 1 SEGMEN TG.BANYORANG.00198-TG.BANYORANG.00198.R0002,INST1,ULP.32740,4692090,32740.INSPEKSI3,ULP.32740,COMP,ULP BANTAENG,,12/08/2026,,BAIK,P_LEMBANG,20/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,10",,2026,,,,,,,,,,,,
101204706,INSPEKSI TIER 1 SEGMEN TG.BANYORANG.00206-TG.BANYORANG.00206.L0019,INST1,ULP.32740,4692091,32740.INSPEKSI3,ULP.32740,COMP,ULP BANTAENG,,12/08/2026,,BAIK,P_LEMBANG,15/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,95",,2026,,,,,,,,,,,,
101204970,INSPEKSI TIER 1 SEGMEN TG.BANYORANG.00212-TG.BANYORANG.002012.L0007,INST1,ULP.32740,4692092,32740.INSPEKSI3,ULP.32740,COMP,ULP BANTAENG,,12/08/2026,,BAIK,P_LEMBANG,15/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,35",,2026,,,,,,,,,,,,
101210168,INSPEKSI TIER 1 SEGMEN TG.BANYORANG.00212-TG.BANYORANG.00245,INST1,ULP.32740,4692093,32740.INSPEKSI3,ULP.32740,COMP,ULP BANTAENG,,12/08/2026,,BAIK,P_LEMBANG,15/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"1,65",,2026,,,,,,,,,,,,
101211629,INSPEKSI TIER 1 SEGMEN TG.BANYORANG.00245-TG.BANYORANG.00245.R0003,INST1,ULP.32740,4692094,32740.INSPEKSI3,ULP.32740,COMP,ULP BANTAENG,,12/08/2026,,BAIK,P_LEMBANG,15/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,15",,2026,,,,,,,,,,,,
101211957,INSPEKSI TIER 1 SEGMEN TG.BANYORANG.00245-TG.BANYORANG.00261,INST1,ULP.32740,4692095,32740.INSPEKSI3,ULP.32740,COMP,ULP BANTAENG,,12/08/2026,,BAIK,P_LEMBANG,15/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,80",,2026,,,,,,,,,,,,
101349313,INSPEKSI TIER 1 SEGMEN TG.BALTAR.00279-LBS.BAJIMINASA.Z,INST1,ULP.32770,4690885,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:47 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"2,15",,2026,,,,,,,,,,,,
101349465,INSPEKSI TIER 1 SEGMEN LBS.BAJIMINASA.Z-LBS.BAJIMINASA,INST1,ULP.32770,4690886,32770.INSPEKSI3,ULP.32770,WFCOMP,ULP TANETE,,13/08/2026,8/13/26 12:46 PM,BAIK,P_BINTARORE,20/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,50",,2026,,,,,,,,,,,,
101349529,INSPEKSI TIER 1 SEGMEN LBS.BAJIMINASA-TG.BALTAR.00383,INST1,ULP.32770,4690887,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:46 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"3,20",,2026,,,,,,,,,,,,
101349821,INSPEKSI TIER 1 SEGMEN TG.BALTAR.00383-TG.BALTAR.00383.L0013,INST1,ULP.32770,4690888,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:46 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,65",,2026,,,,,,,,,,,,
101350008,INSPEKSI TIER 1 SEGMEN TG.BALTAR.00465-TG.BALTAR.00489,INST1,ULP.32770,4690890,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:45 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"1,10",,2026,,,,,,,,,,,,
101350210,INSPEKSI TIER 1 SEGMEN TG.BALTAR.00489-LBS.PANASA,INST1,ULP.32770,4690891,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:45 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"2,20",,2026,,,,,,,,,,,,
101350418,INSPEKSI TIER 1 SEGMEN TG.BALTAR.00489-TG.BALTAR.00521,INST1,ULP.32770,4690892,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:44 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"1,50",,2026,,,,,,,,,,,,
101351336,INSPEKSI TIER 1 SEGMEN TG.BALTAR.00521-TG.BALTAR.00521.L0015,INST1,ULP.32770,4690893,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:44 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,80",,2026,,,,,,,,,,,,
101351427,INSPEKSI TIER 1 SEGMEN TG.BALTAR.00521-TG.BALTAR.00521.R0003,INST1,ULP.32770,4690895,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:44 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,15",,2026,,,,,,,,,,,,
101351495,INSPEKSI TIER 1 SEGMEN TG.BALTAR.00521.R0003-TG.BALTAR.00521.R0048,INST1,ULP.32770,4690896,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:43 PM,CUKUP,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"2,50",,2026,,,,,,,,,,,,
101351583,INSPEKSI TIER 1 SEGMEN TG.BALTAR.00521-TG.BALTAR.00525,INST1,ULP.32770,4690897,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:43 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,15",,2026,,,,,,,,,,,,
101351624,INSPEKSI TIER 1 SEGMEN TG.BALTAR.00525-TG.BALTAR.00541,INST1,ULP.32770,4690898,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:42 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,85",,2026,,,,,,,,,,,,
101351732,INSPEKSI TIER 1 SEGMEN TG.KAJANG.00223.L0072-TG.KAJANG.00223.L0072.L0058,INST1,ULP.32770,4690903,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:42 PM,BAIK,P_BINTARORE,17/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"3,10",,2026,,,,,,,,,,,,
101351845,INSPEKSI TIER 1 SEGMEN TG.KAJANG.00223.L0086-TG.KAJANG.00223.L0146,INST1,ULP.32770,4690907,32770.INSPEKSI3,ULP.32770,COMP,ULP TANETE,,13/08/2026,8/13/26 12:41 PM,BAIK,P_BINTARORE,17/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"3,10",,2026,,,,,,,,,,,,
101351923,INSPEKSI TIER 1 SEGMEN TG.KAJANG.00226-TG.KAJANG.00287,INST1,ULP.32770,4690911,32770.INSPEKSI3,ULP.32770,WFCOMP,ULP TANETE,,13/08/2026,8/13/26 12:41 PM,BAIK,P_BINTARORE,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"2,70",,2026,,,,,,,,,,,,
101352631,INSPEKSI TIER 1 SEGMEN TG.PAHLAWAN.00001-TG.PAHLAWAN.00082,INST1,ULP.32730,4691330,32730.INSPEKSI3,ULP.32730,INPRG,ULP JENEPONTO,,13/08/2026,,,P_BINAMU,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"5,00",,2026,,,,,,,,,,,,
101352810,INSPEKSI TIER 1 SEGMEN TG.TOLO.00103-TG.TOLO.00103.R0104,INST1,ULP.32730,4691394,32730.INSPEKSI3,ULP.32730,INPRG,ULP JENEPONTO,,13/08/2026,,,P_TOLO,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"5,20",,2026,,,,,,,,,,,,
101356906,INSPEKSI TIER 1 SEGMEN TG.TOLO.00038.R0009-TG.TOLO.00038.R0009.R0009,INST1,ULP.32730,22260629,32730.INSPEKSI3,ULP.32730,INPRG,ULP JENEPONTO,,13/08/2026,,,P_TOLO,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,45",,2026,,,,,,,,,,,,
101356944,INSPEKSI TIER 1 SEGMEN TG.TOLO.00198-TG.TOLO.00198.L0048,INST1,ULP.32730,22260630,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_TOLO,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"2,10",,2026,,,,,,,,,,,,
101357049,INSPEKSI TIER 1 SEGMEN TG.TOLO.00198.L0029-TG.TOLO.00198.L0029.R0006,INST1,ULP.32730,22260631,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_TOLO,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,30",,2026,,,,,,,,,,,,
101357077,INSPEKSI TIER 1 SEGMEN TG.TOLO.00296.L0045-TG.TOLO.00296.L0045.L0013,INST1,ULP.32730,22260632,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_TOLO,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,65",,2026,,,,,,,,,,,,
101357190,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00139-TG.MALAKAJI.00154,INST1,ULP.32730,4691303,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_TOLO,28/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,80",,2026,,,,,,,,,,,,
101357278,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00154-TG.MALAKAJI.00154.R0020,INST1,ULP.32730,4691304,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_TOLO,28/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"1,00",,2026,,,,,,,,,,,,
101357315,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00232-TG.MALAKAJI.00251,INST1,ULP.32730,4691307,32730.INSPEKSI3,ULP.32730,INPRG,ULP JENEPONTO,,13/08/2026,,,P_TOLO,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,95",,2026,,,,,,,,,,,,
101357358,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00251-LBS.JANGOAN,INST1,ULP.32730,4691308,32730.INSPEKSI3,ULP.32730,INPRG,ULP JENEPONTO,,13/08/2026,,,P_TOLO,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,20",,2026,,,,,,,,,,,,
101357396,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00251-TG.MALAKAJI.00272,INST1,ULP.32730,4691310,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_TOLO,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"1,05",,2026,,,,,,,,,,,,
101357454,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00272-TG.MALAKAJI.00272.L0024,INST1,ULP.32730,4691311,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_TOLO,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"1,20",,2026,,,,,,,,,,,,
101357506,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00272.L0024-TG.MALAKAJI.00272.L0024.L0005,INST1,ULP.32730,4691312,32730.INSPEKSI3,ULP.32730,INPRG,ULP JENEPONTO,,13/08/2026,,,P_TOLO,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,25",,2026,,,,,,,,,,,,
101357528,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00272.L0024-TG.MALAKAJI.00272.L0069,INST1,ULP.32730,4691313,32730.INSPEKSI3,ULP.32730,INPRG,ULP JENEPONTO,,13/08/2026,,,P_TOLO,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"2,25",,2026,,,,,,,,,,,,
101359078,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00272.L0069-TG.MALAKAJI.00272.L0069.R0023,INST1,ULP.32730,4691314,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_TOLO,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"1,15",,2026,,,,,,,,,,,,
101359314,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00272.L0069-TG.MALAKAJI.00272.L0132,INST1,ULP.32730,4691315,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_TOLO,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"3,15",,2026,,,,,,,,,,,,
101359694,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00272-TG.MALAKAJI.00294,INST1,ULP.32730,4691316,32730.INSPEKSI3,ULP.32730,INPRG,ULP JENEPONTO,,13/08/2026,,,P_TOLO,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"1,10",,2026,,,,,,,,,,,,
101359900,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00294-TG.MALAKAJI.00294.L0027,INST1,ULP.32730,4691317,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_TOLO,28/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"1,35",,2026,,,,,,,,,,,,
101360344,INSPEKSI TIER 1 SEGMEN TG.MALAKAJI.00407-TG.MALAKAJI.00407.R0037,INST1,ULP.32730,4691319,32730.INSPEKSI3,ULP.32730,INPRG,ULP JENEPONTO,,13/08/2026,,,P_TOLO,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"1,85",,2026,,,,,,,,,,,,
101362074,INSPEKSI TIER 1 SEGMEN TG.PAHLAWAN.00082-TG.PAHLAWAN.00082.L0007,INST1,ULP.32730,4691331,32730.INSPEKSI3,ULP.32730,INPRG,ULP JENEPONTO,,13/08/2026,,,P_BINAMU,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,30",,2026,,,,,,,,,,,,
101362200,INSPEKSI TIER 1 SEGMEN TG.PAHLAWAN.00082.L0007-TG.PAHLAWAN.00082.L0010,INST1,ULP.32730,4691332,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_BINAMU,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,20",,2026,,,,,,,,,,,,
101362333,INSPEKSI TIER 1 SEGMEN TG.PAHLAWAN.00082-TG.PAHLAWAN.00094,INST1,ULP.32730,4691333,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,13/08/2026,,BAIK,P_BINAMU,26/08/2026,,,TND,Agu,UP3 BULUKUMBA,JTM,INSP,"0,60",,2026,,,,,,,,,,,,
101371304,INSPEKSI TIER 1 BS08014,INST1,GD01.06301772,,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,KURANG,P_MATUMPU,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101374700,INSPEKSI TIER 1 SSTBBK760.GT0560,INST1,GD01.19602631,,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,CUKUP,P_MATUMPU,28/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101374902,INSPEKSI TIER 1 SSTBBK760.GT0568,INST1,GD01.19602641,,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,CUKUP,P_MATUMPU,19/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101375450,INSPEKSI TIER 1 SSTBBK760.GT0606,INST1,GD01.62508934,92492820,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,BAIK,P_MATUMPU,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101375647,INSPEKSI TIER 1 SSTBBK760.GT0616,INST1,GD01.62514106,92492903,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,BAIK,P_MATUMPU,19/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101375772,INSPEKSI TIER 1 BS08015,INST1,GD01.06301783,,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,KURANG,P_MATUMPU,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101375854,INSPEKSI TIER 1 BS08016,INST1,GD01.06301784,,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,KURANG,P_MATUMPU,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101375942,INSPEKSI TIER 1 BS08017,INST1,GD01.06301785,,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,KURANG,P_MATUMPU,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101376037,INSPEKSI TIER 1 BS08018,INST1,GD01.06301786,,32760.INSPEKSI3,ULP.32760,WFOLLOWUP,ULP SINJAI,,13/08/2026,,BURUK,P_MATUMPU,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101376121,INSPEKSI TIER 1 BS08041,INST1,GD01.06301811,,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,CUKUP,P_MATUMPU,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101376378,INSPEKSI TIER 1 BS08042,INST1,GD01.06301812,,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,KURANG,P_MATUMPU,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
101376509,INSPEKSI TIER 1 BS08043,INST1,GD01.06301813,,32760.INSPEKSI3,ULP.32760,COMP,ULP SINJAI,,13/08/2026,,CUKUP,P_MATUMPU,18/08/2026,,,TND,Agu,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
