Work Order,Description,Work Type,Location,Asset,Owner,Unit,Status,Unit Description,PO,Reported Date,Scheduled Start,HI Value,Description Penyulang,Status Date,Priority,Originating Record,Site,Bulan,UP3,INSP,JENIS WO,PANJANG JTM,FASA,YEAR,COUNTUNIQUE of Work Order,Status,,,,,,,,,,
100031089,INSPEKSI TIER 1 BJ12011,INST1,GD01.06300909,,32730.INSPEKSI3,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_ARUNGKEKE,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031118,INSPEKSI TIER 1 BJ12017,INST1,GD01.06300915,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_ARUNGKEKE,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031133,INSPEKSI TIER 1 BJ12023,INST1,GD01.06300921,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_ARUNGKEKE,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031171,INSPEKSI TIER 1 BJ65023,INST1,GD01.06301289,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031190,INSPEKSI TIER 1 BJ65025,INST1,GD01.06301291,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031210,INSPEKSI TIER 1 BJ65026,INST1,GD01.06301292,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031266,INSPEKSI TIER 1 BJ65027,INST1,GD01.06301293,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031282,INSPEKSI TIER 1 BJ65031,INST1,GD01.06301297,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031293,INSPEKSI TIER 1 BJ65031,INST1,GD01.06301297,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100031310,INSPEKSI TIER 1 BJ65034,INST1,GD01.06301300,,32730.INSPEKSI1,ULP.32730,COMP,ULP JENEPONTO,,22/07/2026,,KURANG,P_TOLO,24/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
